Location,City,Bedrooms,Bathrooms,Parking,Price
 Kilimani, Nairobi,3,3,2,KSh 170 000
 Westlands, Nairobi,4,2,2,KSh 160 000
South C, Nairobi,2,2,,KSh 48 000
,,2,2,2,KSh 70 000
Kilimani, Nairobi,2,2,,KSh 12 950 000
,,4,5,,KSh 150 000
Karen, Nairobi,3,4,3,KSh 150 000
Lavington, Nairobi,3,3,,KSh 130 000
Runda, Nairobi,6,6,2,KSh 400 000
,,4,3,"Erf Size:

                            0.25
                        
                        m²",KSh 140 000
,,"Floor Size:

                            3,050
                        
                        m²","3,050","Erf Size:

                            0.5
                        
                        acres",KSh 400 000
Syokimau, Nairobi,4,3,2,KSh 60 000
Runda, Nairobi,6,6,2,KSh 400 000
 Westlands, Nairobi,4,4,,KSh 150 000
 Kitisuru, Nairobi,6,7,2,KSh 400 000
Lavington, Nairobi,2,2,,KSh 70 000
 Kileleshwa, Nairobi,2,3,,KSh 100 000
Kileleshwa, Nairobi,3,2,,KSh 75 000
 Kileleshwa, Nairobi,4,4,3,KSh 150 000
 Kilimani, Nairobi,2,2,2,KSh 85 000
,,5,5,,KSh 500 000
 Mombasa Rd, Nairobi,2,2,2,KSh 65 000
 Kilimani, Nairobi,3,3,2,KSh 120 000
 Upper Hill, Nairobi,"Erf Size:

                            114
                        
                        m²",114,,KSh 153 500
Ngong Rd, Nairobi,2,1,,KSh 40 000
 Upper Hill, Nairobi,"Erf Size:

                            114
                        
                        m²",114,,KSh 153 500
Ngong Rd, Nairobi,2,1,,KSh 40 000
 Muthaiga, Nairobi,5,5,,KSh 540 000
Karen, Nairobi,2,1,,KSh 35 000
Kitisuru, Nairobi,5,5,,KSh 260 000
 Westlands, Nairobi,2,2,2,KSh 150 000
 Runda, Nairobi,5,5,2,KSh 250 000
 Runda, Nairobi,5,5,2,KSh 250 000
Karen, Nairobi,4,4,3,KSh 350 000
,,4,5,,KSh 400 000
 Runda, Nairobi,5,5,2,KSh 250 000
Kileleshwa, Nairobi,2,2,,KSh 170 000
,,4,2,,KSh 110 000
Westlands, Nairobi,2,3,2,KSh 120 000
Westlands, Nairobi,2,2,2,KSh 220 000
Spring Valley, Nairobi,2,2,2,KSh 270 000
Westlands, Nairobi,4,3,,KSh 140 000
 Lavington, Nairobi,4,4,2,KSh 150 000
Lavington, Nairobi,3,4,2,KSh 130 000
Lavington, Nairobi,3,4,2,KSh 130 000
 Lavington, Nairobi,2,2,,KSh 60 000
Kileleshwa, Nairobi,2,2,2,KSh 65 000
Kilimani, Nairobi,1,1,,KSh 50 000
Kileleshwa, Nairobi,3,4,2,KSh 120 000
Westlands, Nairobi,1,1,"Floor Size:

                            100
                        
                        m²",KSh 110 000
Westlands, Nairobi,3,3,,KSh 170 000
Westlands, Nairobi,2,2,,KSh 130 000
Westlands, Nairobi,3,3,,KSh 220 000
Ngong Rd, Nairobi,2,1,,KSh 30 000
Westlands, Nairobi,4,3,,KSh 250 000
Kilimani, Nairobi,1,1,,KSh 47 000
 Kileleshwa, Nairobi,5,5,3,KSh 230 000
,,3,3,"Floor Size:

                            185
                        
                        m²",KSh 115 000
,,5,5,,KSh 160 000
,,3,3,,KSh 100 000
,,5,5,,KSh 160 000
,,3,3,,KSh 100 000
Kitisuru, Nairobi,5,5,2,KSh 425 000
Westlands, Nairobi,4,3,,KSh 250 000
Kilimani, Nairobi,6,6,,KSh 300 000
,,4,3,"Floor Size:

                            200
                        
                        m²",KSh 90 000
,,5,4,"Floor Size:

                            550
                        
                        m²",KSh 230 000
Westlands, Nairobi,1,2,,KSh 60 000
Kilimani, Nairobi,3,3,,KSh 140 000
,,4,4,,KSh 90 000
,,3,3,,KSh 160 000
Lavington, Nairobi,4,5,2,KSh 150 000
,,3,3,,KSh 260 000
 Lavington, Nairobi,4,4,2,KSh 170 000
Runda, Nairobi,5,5,2,KSh 350 000
,,3,2,2,KSh 80 000
