Price,Bedrooms,Bathrooms,City,Location
80000,1,,Nairobi, Kileleshwa
80000,3,3,Nairobi, Westlands Area
80000,3,3,Nairobi,Westlands Area
80000,3,2,Nairobi,Westlands Area
80000,3,,Nairobi, Riverside
80000,2,,Nairobi, Westlands Area
80000,1,1,Nairobi,Nyari
80000,2,2,Nairobi,Old Muthaiga
80000,2,2,Nairobi,Kilimani
80000,1,,Nairobi,Kileleshwa
80000,3,,Nairobi,Kilimani
80000,3,4,Nairobi, Kileleshwa
80000,3,4,Nairobi, Kileleshwa
80000,3,4,Nairobi, Mombasa CBD
80000,3,3,Nairobi,Kileleshwa
80000,3,4,Nairobi,Kileleshwa
80000,2,2,Nairobi,Rhapta Road
80000,2,,Nairobi,Kileleshwa
80000,2,2,Nairobi, Lavington
80000,2,2,Nairobi, Kilimani
80000,3,4,Nairobi,Upper Hill
80000,3,2,Nairobi, Karen
80000,2,3,Nairobi, Lavington
80000,3,3,Nairobi, Kilimani
80000,3,3,Nairobi, Kileleshwa
80000,2,3,Nairobi, Kileleshwa
80000,3,4,Nairobi, Lavington
80000,2,,Nairobi,Riverside
80000,4,1,Nairobi, Ruaraka
80000,1,2,Nairobi, Kilimani
80000,1,1,Nairobi,Kilimani
80000,2,2,Nairobi,Westlands Area
80000,3,3,Nairobi, Loresho
80000,3,3,Nairobi, Ruaka
80000,3,,Nairobi,Riverside
80000,2,,Nairobi,Kileleshwa
80000,2,,Nairobi,Lavington
